sku,n_observed,n_positive,n_zero,total_sales,mean_sales,median_sales,std_sales,nonzero_mean,CV2,ADI,zero_ratio,approx_entropy,trailing_zero_share,acf1,acf1_zero_variance,trend_coef,seasonality_idx,peak_ratio,promo_weight_ratio,promo_window_weight_mean,promo_response_index
FRH0056-1,135,11,124,14.0,0.1037037037037037,0.0,0.39159212091829004,1.2727272727272727,0.25816326530612255,12.272727272727273,0.9185185185185185,0.24375755260400622,0.05925925925925926,0.22093023255813934,False,0.3065826330532213,0.0,2.357142857142857,1.510204081632653,1.197883597883598,1.2607269056032304
FRH0058,104,2,102,7.0,0.0673076923076923,0.0,0.4880001407950431,3.5,0.04081632653061225,52.0,0.9807692307692307,0.11105529749182591,0.6057692307692307,-0.019398258115597797,False,-0.030298273155416045,0.1830680087979001,1.1428571428571428,0.8571428571428571,1.2513736263736266,0.6849615806805707
FRH0059,135,60,75,304.0,2.251851851851852,0.0,4.088057814452512,5.066666666666666,0.9135992300107989,2.25,0.5555555555555556,0.336425781162077,0.0,0.8072586963133165,False,-0.3735810113519095,0.0,3.947368421052632,1.4976503759398496,1.197883597883598,1.2502470011158637
FRH0064,135,33,102,103.0,0.762962962962963,0.0,1.8576481978502362,3.121212121212121,0.704154491469507,4.090909090909091,0.7555555555555555,0.33773307437240496,0.014814814814814815,0.47599579865880265,False,0.674281363030649,0.0,3.203883495145631,1.540915395284327,1.197883597883598,1.2863648838725168
FRH0065,135,31,104,66.0,0.4888888888888889,0.0,1.1254628677422756,2.129032258064516,0.452142638506275,4.354838709677419,0.7703703703703704,0.41110824668687274,0.007407407407407408,0.5280028178936245,False,0.7125272331154684,0.0,3.287878787878788,1.352813852813853,1.197883597883598,1.1293366527465467
FRH0068,135,14,121,29.0,0.21481481481481482,0.0,0.9091999532571279,2.0714285714285716,1.020579895728528,9.642857142857142,0.8962962962962963,0.1504835576627106,0.17037037037037037,0.25941902001752437,False,0.30543159792652697,0.0048708667417285195,4.344827586206896,1.8669950738916254,1.197883597883598,1.5585780431339098
FRW00011,104,7,97,10.0,0.09615384615384616,0.0,0.4067209813669471,1.4285714285714286,0.3033333333333334,14.857142857142858,0.9326923076923077,0.2725975487195459,0.18269230769230768,0.06043329532497142,False,0.12846153846153846,0.25944698630712915,2.1,0.4,1.2513736263736266,0.319648737650933
FRW00023,30,7,23,9.0,0.3,0.0,0.651258728182957,1.2857142857142858,0.345679012345679,4.285714285714286,0.7666666666666667,0.2941426173945132,0.0,0.12645557842511873,False,0.8781362007168461,,2.333333333333333,1.507936507936508,1.0238095238095235,1.472868217054264
FRW0005,135,96,39,334.0,2.474074074074074,2.0,2.268636350320269,3.4791666666666665,0.30780669986846365,1.40625,0.28888888888888886,0.7450394007564991,0.007407407407407408,0.5493732803424034,False,0.8310907596571561,0.0,2.586826347305389,1.2245508982035929,1.197883597883598,1.0222620130763207
FRW0006,135,99,36,605.0,4.481481481481482,3.0,4.823530403141214,6.111111111111111,0.5824725923427223,1.3636363636363635,0.26666666666666666,0.6279878440612205,0.0,0.6222789935260172,False,0.31208556149732586,0.0,4.418181818181819,1.30271546635183,1.197883597883598,1.087514236486289
