sku,full_cluster,calendar_group,horizon_weeks,approximate_days,origin,tail_rank,origin_index,training_weeks,complete_future_weeks,eligibility
JZJ0004,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
SRPDZS0002,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRH0002,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
LTKF0002,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRH0047,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRW0016,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRW0017,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
LTKF0009,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
YBB0001,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
LRKF0001,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
QCSSXC0006,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
SPH0001,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRH0004,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRC0002,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
JZQCQ004,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRH0040,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
WSJZS0004,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
ZJJSJSV001AMDE,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
ZJJYZSJSV1AMDE,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
WSJZS0002,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRW0014,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
QCCXC0005,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
QCSSXC0005,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
YKLLW0005,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
YJX0024,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRH0045,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRW00011,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
BLJZ0001,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRC0010,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRH0001,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRH0003,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRH0031,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRH0035,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRH0037,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRH0042,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRW0011,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRW0020,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
FRW0023,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
GJMJSLW001,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
HSAKSLT0001,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
JZJ0008,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
JZQCQ001,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
JZQCQ003,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
KFZ0001,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
LTKF0005A,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
LTKF0024A,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
QCCXC0007,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
QCXDS001,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
QCXXC0002,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
YDBZLV0001AMDE,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
YDBZWV0001AMDE,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
YJX0025,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
ZJJYZBV001AMDE,1,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
ZJJYZSJSV2AMDE,2,only_2024_2025,13,91,2024-09-30,5,2,39,13,eligible
LTKF0022,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
DRMJJ0020,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
JZJ0005,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRH0029,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
QFSJZ001-1,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
LTKF0008,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
ZJJYZSJBV1AMDE,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
QCXXC0001,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRH0049,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
ZJJSJBV001AMDE,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRW0013,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
JZJ0004,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
SRPDZS0002,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRH0002,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
LTKF0002,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRH0047,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRW0016,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRW0017,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
LTKF0009,2,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
YBB0001,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
LRKF0001,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
QCSSXC0006,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
SPH0001,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRH0004,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRC0002,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
JZQCQ004,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
FRH0040,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
WSJZS0004,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
ZJJSJSV001AMDE,1,only_2024_2025,9,63,2024-12-16,6,1,50,9,eligible
