cluster,pool_profile,model,n_sku_origins,n_valid_mase,mean_mase,median_mase,mase_lt_1_share,mean_mae,mean_sku_wape,median_sku_wape,aggregate_wape,aggregate_bias,actual_volume,mean_mase_rank,median_mase_rank
1,active_moderate_intermittent,ADIDA2,335.0,335.0,3.3246689427913783,1.7272120615603237,0.3164179104477612,3.7703199053126455,3.512254873667999,0.9849801648153166,0.9137689768708528,0.015077882309380694,11058.0,4.0,4.0
1,active_moderate_intermittent,MA4_proxy,335.0,335.0,3.220253906050545,1.5526315789473684,0.3492537313432836,3.6954424307036247,3.59704879095994,0.9705882352941176,0.8956217864248249,0.044949142615990145,11058.0,3.0,3.0
1,active_moderate_intermittent,Naive,335.0,335.0,3.161492326215126,1.4163851351351353,0.3970149253731343,3.573134328358209,1.796235279497381,1.0,0.865979381443299,0.08301682040151927,11058.0,1.0,1.0
1,active_moderate_intermittent,SES,335.0,335.0,3.1778901304952143,1.5209217619582185,0.3761194029850746,3.6643430480468253,2.2667880590498464,0.990324809386703,0.8880845875172266,0.07717070384537326,11058.0,2.0,2.0
2,highly_intermittent,ADIDA2,240.0,240.0,4.4650373373273835,2.2519680163945637,0.25833333333333336,0.8139072067033128,1.796437820726849,1.0719424629098067,1.43762818479334,0.20750345775757154,1087.0,4.0,4.0
2,highly_intermittent,MA4_proxy,240.0,240.0,4.095948501591188,2.026654411764706,0.3416666666666667,0.7450520833333333,1.6107630506554442,1.0,1.3160073597056117,0.10763569457221711,1087.0,3.0,3.0
2,highly_intermittent,Naive,240.0,240.0,3.7272305983912664,0.9806547619047621,0.5041666666666667,0.6734375,1.5890320344886453,1.0,1.1895124195032198,-0.021159153633854646,1087.0,1.0,1.0
2,highly_intermittent,SBA,240.0,240.0,3.8169548891387644,1.9612793364626158,0.24166666666666667,0.7087791470728769,1.5620667538893633,1.1539472306930305,1.2519374078932142,-0.1283590260378312,1087.0,2.0,2.0
